"date","actual","logit_prob","rf_prob","xgb_prob","train_end_date","risk_score","risk_regime"
2025-05-07,0,0.300781898408266,0.123333333333333,0.219396620988846,2025-03-13,0.123333333333333,"Low"
2025-05-08,0,0.395789374016634,0.106666666666667,0.210632488131523,2025-03-13,0.106666666666667,"Low"
2025-05-09,0,0.0443427506144166,0.11,0.105667524039745,2025-03-13,0.11,"Low"
2025-05-12,0,0.0628140283223677,0.15,0.130741313099861,2025-03-13,0.15,"Low"
2025-05-13,0,0.0491948993518188,0.123333333333333,0.0907489433884621,2025-03-13,0.123333333333333,"Low"
2025-05-14,0,0.0599819727034707,0.15,0.0937510877847672,2025-03-13,0.15,"Low"
2025-05-15,0,0.0489535080927121,0.1,0.0820548608899117,2025-03-13,0.1,"Low"
2025-05-16,0,0.0804258004363776,0.17,0.103419788181782,2025-03-13,0.17,"Low"
2025-05-19,0,0.0947464585034789,0.153333333333333,0.0919850766658783,2025-03-13,0.153333333333333,"Low"
2025-05-20,0,0.124334577286705,0.133333333333333,0.11238756775856,2025-03-13,0.133333333333333,"Low"
2025-05-21,0,0.155616677332704,0.226666666666667,0.163023889064789,2025-03-13,0.226666666666667,"Low"
2025-05-22,0,0.0995784601081342,0.0933333333333333,0.144836962223053,2025-03-13,0.0933333333333333,"Low"
2025-05-23,0,0.0759001713102482,0.113333333333333,0.098793238401413,2025-03-13,0.113333333333333,"Low"
2025-05-27,0,0.0642424135327174,0.15,0.0523365214467049,2025-03-13,0.15,"Low"
2025-05-28,0,0.0897922489196372,0.0833333333333333,0.0531877018511295,2025-03-13,0.0833333333333333,"Low"
2025-05-29,0,0.0615250480764719,0.09,0.0465117022395134,2025-03-13,0.09,"Low"
2025-05-30,0,0.0985754772803791,0.0833333333333333,0.053212720900774,2025-03-13,0.0833333333333333,"Low"
2025-06-02,0,0.0690116744338195,0.08,0.0433770529925823,2025-03-13,0.08,"Low"
2025-06-03,0,0.050944328401485,0.0633333333333333,0.0445651188492775,2025-03-13,0.0633333333333333,"Low"
2025-06-04,0,0.0542216229330487,0.0833333333333333,0.0429645590484142,2025-03-13,0.0833333333333333,"Low"
2025-06-05,0,0.0532145276254771,0.0566666666666667,0.0430411733686924,2025-03-13,0.0566666666666667,"Low"
2025-06-06,0,0.0641335439472928,0.11,0.0475884974002838,2025-03-13,0.11,"Low"
2025-06-09,0,0.0347612042001327,0.07,0.0432994216680527,2025-03-13,0.07,"Low"
2025-06-10,0,0.0232513280923052,0.17,0.171988323330879,2025-03-13,0.17,"Low"
2025-06-11,0,0.011880158567602,0.123333333333333,0.0258311405777931,2025-03-13,0.123333333333333,"Low"
2025-06-12,0,0.00822756641699167,0.11,0.0302719250321388,2025-03-13,0.11,"Low"
2025-06-13,0,0.0261627631944184,0.09,0.0209946408867836,2025-06-12,0.09,"Low"
2025-06-16,0,0.0254733159997483,0.0933333333333333,0.0221467576920986,2025-06-12,0.0933333333333333,"Low"
2025-06-17,0,0.0210144217907725,0.09,0.0227692928165197,2025-06-12,0.09,"Low"
2025-06-18,0,0.024024319599848,0.08,0.0210145357996225,2025-06-12,0.08,"Low"
2025-06-20,0,0.0259365297734752,0.12,0.025659367442131,2025-06-12,0.12,"Low"
2025-06-23,0,0.0235505536744888,0.106666666666667,0.0283842720091343,2025-06-12,0.106666666666667,"Low"
2025-06-24,0,0.028568561719523,0.0933333333333333,0.0368778817355633,2025-06-12,0.0933333333333333,"Low"
2025-06-25,0,0.0339138616203376,0.05,0.0168895423412323,2025-06-12,0.05,"Low"
2025-06-26,0,0.0187679412113792,0.0766666666666667,0.0431727357208729,2025-06-12,0.0766666666666667,"Low"
2025-06-27,0,0.0220925720855126,0.0866666666666667,0.0791760385036469,2025-06-12,0.0866666666666667,"Low"
2025-06-30,0,0.011961092870908,0.06,0.0612641014158726,2025-06-12,0.06,"Low"
2025-07-01,0,0.0126443712704993,0.0566666666666667,0.0507712326943874,2025-06-12,0.0566666666666667,"Low"
2025-07-02,0,0.0137671884956446,0.0666666666666667,0.0573779009282589,2025-06-12,0.0666666666666667,"Low"
2025-07-03,0,0.0159176854917801,0.293333333333333,0.0845675691962242,2025-06-12,0.293333333333333,"Low"
2025-07-07,0,0.00868368685927531,0.0766666666666667,0.0603028871119022,2025-06-12,0.0766666666666667,"Low"
2025-07-08,0,0.00329591325188696,0.0666666666666667,0.0452529899775982,2025-06-12,0.0666666666666667,"Low"
2025-07-09,0,0.00243239152405899,0.06,0.056829322129488,2025-06-12,0.06,"Low"
2025-07-10,0,0.0019035071002783,0.07,0.0547573268413544,2025-06-12,0.07,"Low"
2025-07-11,0,0.0298532946091453,0.00333333333333333,0.02152862213552,2025-06-12,0.00333333333333333,"Low"
2025-07-14,0,0.0157353703684948,0,0.0212716460227966,2025-06-12,0,"Low"
2025-07-15,0,0.0258476049078796,0.01,0.0166623052209616,2025-06-12,0.01,"Low"
2025-07-16,0,0.0242349074741426,0.00333333333333333,0.0186554025858641,2025-06-12,0.00333333333333333,"Low"
2025-07-17,0,0.0205646541214646,0,0.0178207084536552,2025-06-12,0,"Low"
2025-07-18,0,0.014996184459515,0,0.0159812644124031,2025-06-12,0,"Low"
2025-07-21,0,0.0140796371067513,0.01,0.0166735891252756,2025-06-12,0.01,"Low"
2025-07-22,0,0.00900010430447285,0,0.0160320047289133,2025-06-12,0,"Low"
2025-07-23,0,0.0155847028282465,0.00333333333333333,0.0186188649386168,2025-06-12,0.00333333333333333,"Low"
